x,y
2.672,0.41056
2.68,0.41056
2.688,0.41056
2.696,0.41056
2.704,0.41056
2.712,0.41056
2.72,0.41056
2.728,0.41153
2.736,0.41056
2.744,0.41056
2.752,0.41056
2.76,0.40958
2.768,0.40958
2.776,0.40958
2.784,0.40958
2.792,0.41056
2.8,0.41251
2.808,0.41642
2.816,0.42522
2.824,0.43793
2.832,0.45552
2.84,0.47605
2.848,0.49658
2.856,0.51808
2.864,0.53763
2.872,0.55523
2.88,0.56989
2.888,0.58065
2.896,0.58651
2.904,0.59238
2.912,0.59726
2.92,0.59922
2.928,0.6002
2.936,0.6002
2.944,0.59824
2.952,0.59433
2.96,0.58944
2.968,0.58456
2.976,0.57674
2.984,0.56696
2.992,0.55621
3,0.54545
3.008,0.53177
3.016,0.51711
3.024,0.50342
3.032,0.49169
3.04,0.48192
3.048,0.47605
3.056,0.47214
3.064,0.47019
3.072,0.46921
3.08,0.46725
3.088,0.46628
3.096,0.4653
3.104,0.46334
3.112,0.46139
3.12,0.45943
3.128,0.45552
3.136,0.45259
3.144,0.44966
3.152,0.44575
3.16,0.44086
3.168,0.435
3.176,0.43011
3.184,0.42522
3.192,0.42131
3.2,0.4174
3.208,0.41447
3.216,0.41251
3.224,0.41056
3.232,0.41056
3.24,0.4086
3.248,0.40665
3.256,0.40567
3.264,0.40469
3.272,0.40371
3.28,0.40274
3.288,0.40176
3.296,0.40176
3.304,0.40078
3.312,0.39883
3.32,0.39687
3.328,0.39394
3.336,0.39198
3.344,0.39003
3.352,0.38905
3.36,0.38807
3.368,0.38807
3.376,0.38807
3.384,0.38807
3.392,0.3871
3.4,0.38514
3.408,0.38319
3.416,0.38123
3.424,0.37928
3.432,0.3783
3.44,0.38025
3.448,0.38221
3.456,0.38807
3.464,0.39687
3.472,0.4086
3.48,0.42522
3.488,0.44086
3.496,0.45748
3.504,0.47703
3.512,0.4956
3.52,0.5132
3.528,0.52981
3.536,0.5435
3.544,0.55425
3.552,0.56403
3.56,0.57087
3.568,0.5738
3.576,0.57576
3.584,0.57674
3.592,0.57674
3.6,0.57674
3.608,0.5738
3.616,0.56989
3.624,0.56207
3.632,0.55132
3.64,0.53959
3.648,0.52688
3.656,0.51515
3.664,0.5044
3.672,0.49658
3.68,0.48974
3.688,0.48485
3.696,0.47996
3.704,0.47703
3.712,0.47507
3.72,0.47312
3.728,0.47019
3.736,0.46921
3.744,0.46725
3.752,0.4653
3.76,0.46334
3.768,0.46041
3.776,0.45846
3.784,0.45552
3.792,0.45259
3.8,0.44868
3.808,0.44477
3.816,0.43988
3.824,0.43597
3.832,0.43206
3.84,0.42717
3.848,0.42229
3.856,0.4174
3.864,0.41447
3.872,0.41056
3.88,0.40762
3.888,0.40665
3.896,0.40567
3.904,0.40469
3.912,0.40469
3.92,0.40371
3.928,0.40176
3.936,0.3998
3.944,0.3998
3.952,0.39883
3.96,0.39883
3.968,0.39883
3.976,0.39883
3.984,0.39883
3.992,0.3998
4,0.39785
4.008,0.39589
4.016,0.39394
4.024,0.39198
4.032,0.38905
4.04,0.38612
4.048,0.38319
4.056,0.38123
4.064,0.37928
4.072,0.38025
4.08,0.38221
4.088,0.38514
4.096,0.39101
4.104,0.40078
4.112,0.41349
4.12,0.43011
4.128,0.44966
4.136,0.47116
4.144,0.49169
4.152,0.51026
4.16,0.52688
4.168,0.54057
4.176,0.55132
4.184,0.55914
4.192,0.565
4.2,0.56891
4.208,0.57283
4.216,0.57478
4.224,0.57576
4.232,0.57576
4.24,0.57478
4.248,0.57087
4.256,0.565
4.264,0.55816
4.272,0.54839
4.28,0.53763
4.288,0.52884
4.296,0.52004
4.304,0.50929
4.312,0.50049
4.32,0.49365
4.328,0.48778
4.336,0.48289
4.344,0.48094
4.352,0.47996
4.36,0.47898
4.368,0.47898
4.376,0.47703
4.384,0.4741
4.392,0.47116
4.4,0.46628
4.408,0.46139
4.416,0.4565
4.424,0.45161
4.432,0.44673
4.44,0.44184
4.448,0.43695
4.456,0.43304
4.464,0.43011
4.472,0.4262
4.48,0.42326
4.488,0.42131
4.496,0.41935
4.504,0.41642
4.512,0.41447
4.52,0.41349
4.528,0.41251
4.536,0.41153
4.544,0.41153
4.552,0.41153
4.56,0.41153
4.568,0.41153
4.576,0.41153
4.584,0.41056
4.592,0.40958
4.6,0.40958
4.608,0.40958
4.616,0.40958
4.624,0.40958
4.632,0.41056
4.64,0.41056
4.648,0.41447
4.656,0.41935
4.664,0.42131
4.672,0.42229
4.68,0.42229
4.688,0.42229
4.696,0.42229
4.704,0.42229
4.712,0.42326
4.72,0.42522
4.728,0.43011
4.736,0.44086
4.744,0.45552
4.752,0.4741
4.76,0.4956
4.768,0.51808
4.776,0.53959
4.784,0.55816
4.792,0.57283
4.8,0.58553
4.808,0.59629
4.816,0.60508
4.824,0.6129
4.832,0.61779
4.84,0.61975
4.848,0.62072
4.856,0.6217
4.864,0.6217
4.872,0.62072
4.88,0.61779
4.888,0.6129
4.896,0.60704
4.904,0.59922
4.912,0.58944
4.92,0.57967
4.928,0.56794
4.936,0.55523
4.944,0.54252
4.952,0.53079
4.96,0.52102
4.968,0.5132
4.976,0.50733
4.984,0.50244
4.992,0.49951
5,0.49853
5.008,0.49658
5.016,0.49462
5.024,0.49365
5.032,0.49169
5.04,0.48778
5.048,0.48387
5.056,0.47996
5.064,0.47605
5.072,0.47214
5.08,0.46823
5.088,0.46432
5.096,0.45943
5.104,0.45552
5.112,0.45161
5.12,0.4477
5.128,0.44379
5.136,0.44086
5.144,0.43597
5.152,0.43109
5.16,0.42717
5.168,0.42424
5.176,0.42131
5.184,0.41838
5.192,0.4174
5.2,0.41447
5.208,0.41251
5.216,0.40958
5.224,0.40762
5.232,0.40665
5.24,0.40665
5.248,0.40665
5.256,0.4086
5.264,0.41056
5.272,0.41251
5.28,0.41447
5.288,0.41544
5.296,0.41642
5.304,0.41642
5.312,0.41544
5.32,0.41447
5.328,0.41349
5.336,0.41153
5.344,0.41056
5.352,0.41056
5.36,0.41153
5.368,0.41447
5.376,0.42033
5.384,0.42815
5.392,0.43891
5.4,0.45357
5.408,0.47214
5.416,0.49169
5.424,0.51026
5.432,0.52884
5.44,0.54448
5.448,0.55816
5.456,0.56891
5.464,0.57674
5.472,0.58358
5.48,0.58847
5.488,0.58944
5.496,0.59042
5.504,0.59042
5.512,0.58944
5.52,0.58651
5.528,0.5826
5.536,0.57674
5.544,0.56989
5.552,0.56012
5.56,0.54839
5.568,0.53666
5.576,0.52395
5.584,0.5132
5.592,0.50538
5.6,0.49853
5.608,0.49267
5.616,0.4868
5.624,0.48289
5.632,0.48094
5.64,0.47996
5.648,0.47898
5.656,0.47801
5.664,0.4741
5.672,0.47019
5.68,0.46628
5.688,0.46237
5.696,0.45748
5.704,0.45259
5.712,0.44868
5.72,0.44477
5.728,0.44086
5.736,0.43597
5.744,0.43109
5.752,0.42717
5.76,0.42424
5.768,0.42131
5.776,0.41838
5.784,0.41642
5.792,0.41447
5.8,0.41349
5.808,0.41251
5.816,0.41251
5.824,0.41349
5.832,0.41349
5.84,0.41447
5.848,0.41642
5.856,0.41838
5.864,0.42033
5.872,0.42229
5.88,0.42229
5.888,0.42326
5.896,0.42326
5.904,0.42326
5.912,0.42326
5.92,0.42424
5.928,0.42326
5.936,0.42229
5.944,0.42033
5.952,0.4174
5.96,0.41544
5.968,0.41251
5.976,0.40958
5.984,0.4086
5.992,0.40958
6,0.41056
6.008,0.41349
6.016,0.41935
6.024,0.42717
6.032,0.43695
6.04,0.45064
6.048,0.46725
6.056,0.48583
6.064,0.50342
6.072,0.52004
6.08,0.53372
6.088,0.5435
6.096,0.55327
6.104,0.56207
6.112,0.56989
6.12,0.57576
6.128,0.57967
6.136,0.5826
6.144,0.58162
6.152,0.58065
6.16,0.57771
6.168,0.57087
6.176,0.56207
6.184,0.5523
6.192,0.54252
6.2,0.53079
6.208,0.51906
6.216,0.50831
6.224,0.49756
6.232,0.48974
6.24,0.48289
6.248,0.47703
6.256,0.47214
6.264,0.46921
6.272,0.46725
6.28,0.46628
6.288,0.46628
6.296,0.46432
6.304,0.46237
6.312,0.45846
6.32,0.45455
6.328,0.44966
6.336,0.44477
6.344,0.43988
6.352,0.435
6.36,0.43109
6.368,0.42717
6.376,0.42522
6.384,0.42326
6.392,0.42229
6.4,0.42033
6.408,0.4174
6.416,0.41544
6.424,0.41447
6.432,0.41447
6.44,0.41447
6.448,0.41447
6.456,0.41447
6.464,0.41544
6.472,0.41642
6.48,0.41838
6.488,0.41935
6.496,0.42033
6.504,0.42131
6.512,0.42326
6.52,0.42326
6.528,0.42424
6.536,0.42424
6.544,0.42424
6.552,0.42424
6.56,0.42424
6.568,0.42326
6.576,0.42229
6.584,0.42033
6.592,0.41935
6.6,0.4174
6.608,0.41544
6.616,0.41544
6.624,0.4174
6.632,0.42229
6.64,0.43109
6.648,0.44477
6.656,0.46334
6.664,0.48485
6.672,0.50733
6.68,0.52688
6.688,0.54448
6.696,0.55914
6.704,0.56989
6.712,0.58162
6.72,0.5914
6.728,0.59922
6.736,0.60508
6.744,0.60802
6.752,0.60997
6.76,0.61095
6.768,0.61193
6.776,0.60997
6.784,0.60802
6.792,0.60606
6.8,0.60215
6.808,0.59726
6.816,0.59042
6.824,0.58065
6.832,0.56891
6.84,0.55718
6.848,0.54448
6.856,0.53079
6.864,0.51906
6.872,0.50929
6.88,0.50147
6.888,0.49462
6.896,0.48876
6.904,0.48485
6.912,0.48094
6.92,0.47801
6.928,0.47507
6.936,0.47214
6.944,0.46921
6.952,0.46725
6.96,0.46334
6.968,0.46041
6.976,0.45748
6.984,0.45455
6.992,0.45259
7,0.44966
7.008,0.44673
7.016,0.44184
7.024,0.43695
7.032,0.43304
7.04,0.42815
7.048,0.42424
7.056,0.42033
7.064,0.41642
7.072,0.41349
7.08,0.41153
7.088,0.40958
7.096,0.4086
7.104,0.40762
7.112,0.40762
7.12,0.40567
7.128,0.40469
7.136,0.40469
7.144,0.40371
7.152,0.40469
7.16,0.40567
7.168,0.40762
7.176,0.4086
7.184,0.40762
7.192,0.40762
7.2,0.40567
7.208,0.40371
7.216,0.40274
7.224,0.40078
7.232,0.40078
7.24,0.3998
7.248,0.3998
7.256,0.40078
7.264,0.40371
7.272,0.4086
7.28,0.41642
7.288,0.4262
7.296,0.44086
7.304,0.45943
7.312,0.47996
7.32,0.50049
7.328,0.52004
7.336,0.53861
7.344,0.55425
7.352,0.56598
7.36,0.5738
7.368,0.58065
7.376,0.58358
7.384,0.58456
7.392,0.58553
7.4,0.58553
7.408,0.58456
7.416,0.58358
7.424,0.58162
7.432,0.57869
7.44,0.5738
7.448,0.56891
7.456,0.56012
7.464,0.55034
7.472,0.53666
7.48,0.52297
7.488,0.51026
7.496,0.49756
7.504,0.4868
7.512,0.47801
7.52,0.47116
7.528,0.46628
7.536,0.46334
7.544,0.46041
7.552,0.4565
7.56,0.45357
7.568,0.44966
7.576,0.4477
7.584,0.44575
7.592,0.44184
7.6,0.43793
7.608,0.43402
7.616,0.43109
7.624,0.42717
7.632,0.42424
7.64,0.42229
7.648,0.41935
7.656,0.41544
7.664,0.41251
7.672,0.41056
7.68,0.4086
7.688,0.40665
7.696,0.40469
7.704,0.40176
7.712,0.3998
7.72,0.39687
7.728,0.39394
7.736,0.39198
7.744,0.39003
7.752,0.39003
7.76,0.38905
7.768,0.39101
7.776,0.39296
7.784,0.39394
7.792,0.39296
7.8,0.39296
7.808,0.39198
7.816,0.39003
7.824,0.38905
7.832,0.38807
7.84,0.3871
7.848,0.38612
7.856,0.38514
7.864,0.38319
7.872,0.38123
7.88,0.37928
7.888,0.3783
7.896,0.37732
7.904,0.3783
7.912,0.38123
7.92,0.38807
7.928,0.39785
7.936,0.41251
7.944,0.43011
7.952,0.45064
7.96,0.47116
7.968,0.49071
7.976,0.50733
7.984,0.52004
7.992,0.53372
